% Model:              ID29_ML_central_demi.mph
% Version:            COMSOL 5.3.1.275
% Date:               Sep 17 2018, 17:45
% Dimension:          3
% Nodes:              1960
% Expressions:        1
% Description:        Displacement field, Y component
% Length unit:        m
% X                       Y                        Z                        v (m)
0.01888979591836733       0.07                     2.5E-4                   1.6375328365090708E-5
0.020171428571428562      0.07                     1.25E-4                  1.6374691363215554E-5
0.020171428571428566      0.07                     2.5E-4                   1.6371316250127932E-5
0.020171428571428562      0.07                     0                        1.637581735518701E-5
0.021428571428571425      0.07000000000000002      0                        1.6371460709549937E-5
0.021428571428571422      0.07                     1.2499999999999998E-4    1.6370335950516254E-5
0.02142857142857142       0.07                     2.4999999999999995E-4    1.6366964533501963E-5
0.022661224489795902      0.07                     0                        1.6366750713245334E-5
0.02266122448979591       0.07                     1.2499999999999998E-4    1.6365627243043753E-5
0.0226612244897959        0.07                     2.5E-4                   1.6362259689677155E-5
0.023869387755102025      0.06999999999999999      0                        1.6361672575378625E-5
0.023869387755102014      0.07                     1.2499999999999998E-4    1.6360550447687606E-5
0.02505306122448978       0.07                     0                        1.6356210256258392E-5
0.025053061224489775      0.07                     1.25E-4                  1.635508952296621E-5
0.02621224489795916       0.07                     0                        1.635034649234347E-5
0.026212244897959164      0.07                     1.25E-4                  1.6349227204022244E-5
0.02734693877551019       0.07000000000000002      0                        1.634406282075284E-5
0.02734693877551018       0.07                     1.25E-4                  1.6342945027186792E-5
0.028457142857142844      0.07                     0                        1.6337339605093294E-5
0.028457142857142848      0.07                     1.2500000000000003E-4    1.6336223355868466E-5
0.029542857142857128      0.07                     0                        1.633015606457079E-5
0.029542857142857128      0.07                     1.25E-4                  1.6329041409735005E-5
0.030604081632653053      0.07                     0                        1.632249030853921E-5
0.030604081632653053      0.07                     1.2499999999999998E-4    1.6321377299343595E-5
0.03164081632653061       0.06999999999999999      0                        1.631431937875802E-5
0.03164081632653061       0.07                     1.2499999999999998E-4    1.6313208068494784E-5
0.0326530612244898        0.07                     0                        1.6305619301623398E-5
0.0326530612244898        0.07                     1.2499999999999998E-4    1.6304509746579208E-5
0.033640816326530605      0.07000000000000002      0                        1.629636515244717E-5
