	Line1	Line2	Center	Line3	Line4
28.7	-0.366253412	-1.540658449	-1.226571139	-1.511995332	-1.547091685
28.75	-0.365638818	-1.507109672	-1.108806968	-1.713278788	-1.645424753
28.8	-0.481174224	-1.432729906	-1.242462803	-1.709804233	-1.817595791
28.85	-0.596709632	-1.35834915	-1.376117646	-1.706329669	-1.9897508
28.9	-0.571712039	-1.204348406	-1.447211495	-1.702641093	-1.838846778
28.95	-0.546729448	-1.050347672	-1.518321351	-1.698953507	-1.687927728
29	-0.595385857	-1.126357949	-1.557951214	-1.686033911	-1.675679647
29.05	-0.644041266	-1.202353236	-1.597582084	-1.673129304	-1.663432537
29.1	-0.783472676	-1.147244534	-1.489934961	-1.329154687	-1.706910397
29.15	-0.922888087	-1.092151843	-1.382286845	-0.985195059	-1.750403228
29.2	-0.813737498	-1.064967163	-1.378292736	-1.03762842	-1.618862029
29.25	-0.70457191	-1.037797493	-1.374298633	-1.090046771	-1.487321801
29.3	-0.495202323	-1.070258834	-1.402835538	-1.151254112	-1.484717542
29.35	-0.285817736	-1.102706186	-1.431388449	-1.212446442	-1.482098254
29.4	-0.338639149	-1.173207549	-1.402568367	-1.283144761	-1.461518937
29.45	-0.391476563	-1.243709922	-1.373748292	-1.35385807	-1.44093959
29.5	-0.471336978	-1.272479306	-1.489703224	-1.384288368	-1.626721213
29.55	-0.551212393	-1.301232701	-1.605673163	-1.414703656	-1.812516806
29.6	-0.383910809	-1.306702106	-1.613413109	-1.346912934	-1.75545437
29.65	-0.216625225	-1.312170522	-1.621152061	-1.2791072	-1.698390904
29.7	-0.268927642	-1.284329949	-1.370286021	-1.100736457	-1.579896409
29.75	-0.32123106	-1.256489387	-1.119434987	-0.922365703	-1.461385884
29.8	-0.439070478	-1.258967835	-1.18318996	-0.827688938	-1.336528329
29.85	-0.556925897	-1.261430294	-1.24694494	-0.732997163	-1.211685745
29.9	-0.564932316	-1.123177764	-1.182983927	-0.955535377	-1.166525131
29.95	-0.572938736	-0.984924244	-1.119021921	-1.17805858	-1.121363487
30	-0.662611156	-1.096609736	-1.039282922	-1.323036774	-1.182220814
30.05	-0.752267577	-1.208310237	-0.959544929	-1.468013956	-1.243077111
30.1	-0.649067999	-1.18722875	-1.085264944	-1.461808129	-1.485650379
30.15	-0.545869421	-1.166148273	-1.210970965	-1.45560229	-1.728224616
30.2	-0.450222844	-1.082993808	-1.258596994	-1.394403441	-1.736727825
30.25	-0.354561267	-0.999840352	-1.306223029	-1.333219582	-1.745217003
30.3	-0.454624691	-1.078429908	-1.319654071	-1.204424712	-1.667996152
30.35	-0.554688115	-1.157018474	-1.33310112	-1.075613831	-1.590791271
30.4	-0.62563754	-1.005246051	-1.224660175	-0.954660941	-1.555167361
30.45	-0.696570966	-0.853473639	-1.116204238	-0.833709039	-1.519542421
30.5	-0.757236392	-0.881892237	-1.092450307	-0.736347127	-1.436813451
30.55	-0.817885819	-0.910295846	-1.068696384	-0.638969205	-1.354084452
30.6	-0.597605246	-0.979531466	-1.046467467	-0.707470271	-1.368432423
30.65	-0.377310674	-1.048767097	-1.024254557	-0.775971328	-1.382795364
30.7	-0.501040102	-1.100653738	-1.042324654	-0.842091374	-1.397921276
30.75	-0.624769531	-1.15254039	-1.060409758	-0.908211409	-1.413047158
30.8	-0.720162961	-1.165883053	-1.253299869	-1.047711434	-1.647335011
